
2025/05/19 (13:03:22) | ===> btop++ v.1.3.0
2025/05/19 (13:03:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/19 (13:03:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/19 (17:23:02) | ===> btop++ v.1.3.0
2025/05/19 (17:23:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/19 (17:23:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/19 (17:24:21) | ===> btop++ v.1.3.0
2025/05/19 (17:24:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/19 (17:24:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/20 (08:22:17) | ===> btop++ v.1.3.0
2025/05/20 (08:22:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/20 (08:22:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/21 (08:52:35) | ===> btop++ v.1.3.0
2025/05/21 (08:52:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/21 (08:52:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/23 (11:15:06) | ===> btop++ v.1.3.0
2025/05/23 (11:15:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/23 (11:15:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/23 (11:15:38) | ===> btop++ v.1.3.0
2025/05/23 (11:15:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/23 (11:15:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/23 (11:15:52) | ===> btop++ v.1.3.0
2025/05/23 (11:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/23 (11:15:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/23 (11:18:26) | ===> btop++ v.1.3.0
2025/05/23 (11:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/23 (11:18:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/25 (16:17:36) | ===> btop++ v.1.3.0
2025/05/25 (16:17:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/25 (16:17:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/05/26 (12:00:47) | ===> btop++ v.1.3.0
2025/05/26 (12:00:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/26 (12:00:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
